benchmark,model,effort,n_used,mean_judge_score,mean_usd_per_request,mean_latency_ms,mean_output_tokens,mean_reasoning_tokens,throughput_gain_factor
01,gpt-4o,none_or_na,58,1.87931,0.000747,809.723222,12.793103,0.0,1.0
01,gpt-5.2,minimal,58,1.87931,0.000663,1112.798745,12.672414,3.655172,0.984614
01,gpt-5.2,low,60,1.766667,0.001037,1479.719976,13.866667,29.233333,0.896065
01,gpt-5.2,medium,59,1.728814,0.001865,1965.984625,14.20339,88.0,0.743882
01,gpt-5.2,high,60,1.883333,0.003257,2434.12802,16.266667,185.45,0.579668
01,gpt-5.2,xhigh,59,1.779661,0.005043,3088.001225,17.881356,311.474576,0.451798
02,gpt-4o,none_or_na,60,1.5,0.000798,1381.963382,2.75,0.0,1.0
02,gpt-5.2,none,60,2.0,0.000618,1588.904051,5.75,0.0,0.99361
02,gpt-5.2,minimal,0,,,,,,
02,gpt-5.2,low,60,1.933333,0.000859,1869.142269,23.616667,17.433333,0.956041
02,gpt-5.2,medium,60,2.0,0.001083,2039.414781,38.916667,32.0,0.898411
02,gpt-5.2,high,60,2.0,0.00125,2324.938405,50.866667,43.55,0.868432
02,gpt-5.2,xhigh,60,2.0,0.002179,3264.953921,117.266667,109.55,0.732598
03,gpt-4o,none_or_na,60,1.85,0.003286,3043.64396,29.816667,0.0,1.0
03,gpt-5.2,none,60,1.966667,0.002762,2901.991854,36.35,0.0,0.925445
03,gpt-5.2,minimal,0,,,,,,
03,gpt-5.2,low,59,2.0,0.002773,3064.477326,39.966102,3.881356,0.93883
03,gpt-5.2,medium,60,1.983333,0.002894,3132.623906,44.916667,7.483333,0.914813
03,gpt-5.2,high,60,1.966667,0.003178,3651.017899,71.766667,35.8,0.932668
03,gpt-5.2,xhigh,60,2.0,0.003499,3770.198794,89.5,52.15,0.89217
