series,t_seconds,value
proactive (this run),0.000,0.000000
proactive (this run),6.186,0.000000
proactive (this run),13.371,0.330801
proactive (this run),22.703,0.496183
proactive (this run),38.353,0.595416
proactive (this run),69.673,0.992283
proactive (this run),98.563,0.992295
proactive (this run),128.675,0.992326
proactive (this run),156.523,0.992311
proactive (this run),194.737,0.992295
proactive (this run),220.712,0.992365
proactive (this run),250.845,0.992342
proactive (this run),277.253,0.992358
proactive (this run),309.316,0.992358
proactive (this run),344.711,0.992342
proactive (this run),372.280,0.992412
proactive (this run),401.363,0.992404
proactive (this run),430.017,0.992420
proactive (this run),456.621,0.992342
proactive (this run),491.338,0.992272
proactive (this run),515.933,0.992342
proactive (this run),552.736,0.992436
proactive (this run),583.328,0.992412
proactive (this run),608.721,0.992326
proactive (this run),643.825,0.992248
proactive (this run),672.582,0.992295
proactive (this run),702.202,0.992279
proactive (this run),729.266,0.992264
proactive (this run),763.528,0.992272
proactive (this run),791.105,0.992295
proactive (this run),820.298,0.661540
proactive (this run),847.965,0.661613
proactive (this run),881.209,0.992436
proactive (this run),915.595,0.992272
proactive (this run),942.284,0.992295
proactive (this run),973.784,0.992279
proactive (this run),998.968,0.992311
proactive (this run),1030.817,0.992326
proactive (this run),1056.876,0.992311
proactive (this run),1095.010,0.992295
proactive (this run),1120.518,0.992365
proactive (this run),1152.349,0.992342
proactive (this run),1177.800,0.992358
proactive (this run),1210.731,0.992358
proactive (this run),1246.470,0.992342
proactive (this run),1271.762,0.992412
proactive (this run),1308.814,0.992436
proactive (this run),1334.095,0.992389
proactive (this run),1360.115,0.992342
proactive (this run),1393.542,0.992311
proactive (this run),1418.690,0.992342
proactive (this run),1452.175,0.992389
proactive (this run),1489.641,0.992412
proactive (this run),1509.678,0.992326
proactive (this run),1546.790,0.992311
proactive (this run),1571.491,0.992295
proactive (this run),1601.692,0.992279
proactive (this run),1629.398,0.992264
proactive (this run),1662.110,0.992295
proactive (this run),1662.110,0.992272
proactive (this run),1706.487,0.992295
proactive (this run),1714.400,0.992311
proactive (this run),1717.508,0.992377
proactive (this run),1724.267,0.992389
proactive (this run),1733.418,0.992361
proactive (this run),1740.875,0.992358
proactive (this run),1747.615,0.992342
proactive (this run),1754.586,0.992342
proactive (this run),1782.004,0.992311
proactive (this run),1808.031,0.992311
proactive (this run),1842.848,0.992295
proactive (this run),1875.485,0.992365
proactive (this run),1905.105,0.992318
proactive (this run),1929.469,0.992358
proactive (this run),1962.245,0.992358
proactive (this run),1994.724,0.992342
proactive (this run),2023.378,0.992412
proactive (this run),2056.545,0.992436
proactive (this run),2081.195,0.992420
proactive (this run),2110.027,0.992342
proactive (this run),2143.264,0.992272
proactive (this run),2168.785,0.992342
proactive (this run),2203.190,0.992389
proactive (this run),2236.574,0.992412
proactive (this run),2259.127,0.992326
proactive (this run),2297.853,0.992248
proactive (this run),2322.693,0.992295
proactive (this run),2354.533,0.992279
proactive (this run),2383.008,0.992272
proactive (this run),2413.516,0.992264
proactive (this run),2448.427,0.992295
proactive (this run),2474.246,0.992342
proactive (this run),2498.615,0.992420
proactive (this run),2537.426,0.992436
proactive (this run),2566.392,0.992272
proactive (this run),2592.727,0.992295
proactive (this run),2623.238,0.992279
proactive (this run),2652.135,0.992311
proactive (this run),2683.771,0.992365
proactive (this run),2710.148,0.992311
proactive (this run),2744.453,0.992295
proactive (this run),2773.582,0.992365
proactive (this run),2806.219,0.992318
proactive (this run),2831.728,0.992358
proactive (this run),2866.642,0.992389
proactive (this run),2894.978,0.992342
proactive (this run),2894.978,0.992342
proactive (this run),2942.054,0.992412
proactive (this run),2952.654,0.992404
proactive (this run),2958.802,0.992420
proactive (this run),2962.790,0.992377
proactive (this run),2971.752,0.992361
proactive (this run),2975.622,0.992381
proactive (this run),2983.130,0.992382
proactive (this run),2995.094,0.992389
proactive (this run),3011.791,0.992348
proactive (this run),3046.553,0.992311
proactive (this run),3077.688,0.992295
proactive (this run),3104.095,0.992279
proactive (this run),3132.835,0.992264
proactive (this run),3166.437,0.992272
proactive (this run),3196.799,0.992295
proactive (this run),3225.144,0.992311
proactive (this run),3250.014,0.992420
proactive (this run),3283.935,0.992404
proactive (this run),3314.721,0.992272
proactive (this run),3342.851,0.992295
proactive (this run),3372.472,0.992279
proactive (this run),3419.499,0.992295
proactive (this run),3433.424,0.992365
proactive (this run),3460.614,0.992311
proactive (this run),3495.480,0.992295
proactive (this run),3526.368,0.992365
proactive (this run),3554.770,0.992342
proactive (this run),3582.417,0.992358
proactive (this run),3615.494,0.992389
proactive (this run),3648.056,0.992342
proactive (this run),3676.308,0.992412
proactive (this run),3711.120,0.992436
proactive (this run),3736.253,0.992420
proactive (this run),3761.310,0.992342
proactive (this run),3796.844,0.992272
proactive (this run),3820.599,0.992342
proactive (this run),3859.206,0.992436
proactive (this run),3892.772,0.992412
proactive (this run),3912.353,0.992326
proactive (this run),3949.793,0.992311
proactive (this run),3976.249,0.992295
proactive (this run),4006.150,0.992279
proactive (this run),4033.284,0.992264
proactive (this run),4066.566,0.992272
proactive (this run),4099.846,0.992295
proactive (this run),4127.051,0.992342
proactive (this run),4152.706,0.992420
proactive (this run),4187.129,0.992436
proactive (this run),4217.184,0.992272
proactive (this run),4245.231,0.992295
proactive (this run),4275.348,0.992279
proactive (this run),4308.818,0.992295
proactive (this run),4335.483,0.992365
proactive (this run),4362.399,0.992311
proactive (this run),4398.026,0.992295
proactive (this run),4426.326,0.992365
proactive (this run),4455.788,0.992342
proactive (this run),4482.197,0.992318
proactive (this run),4482.197,0.992358
proactive (this run),4541.323,0.992389
proactive (this run),4550.302,0.992342
proactive (this run),4562.489,0.992389
proactive (this run),4574.047,0.992389
proactive (this run),4581.126,0.992389
proactive (this run),4584.196,0.992365
proactive (this run),4592.381,0.992355
proactive (this run),4595.478,0.992371
proactive (this run),4607.300,0.992377
proactive (this run),4638.350,0.992373
proactive (this run),4664.278,0.992326
proactive (this run),4698.067,0.992311
proactive (this run),4727.960,0.992295
proactive (this run),4756.331,0.992279
proactive (this run),4785.002,0.992264
proactive (this run),4817.977,0.992272
proactive (this run),4846.540,0.992295
proactive (this run),4878.631,0.992342
proactive (this run),4904.197,0.992420
proactive (this run),4937.632,0.992459
proactive (this run),4937.632,0.992404
proactive (this run),4982.022,0.992272
proactive (this run),4988.267,0.992295
proactive (this run),4994.310,0.992283
proactive (this run),5001.273,0.992295
proactive (this run),5007.625,0.992314
