series,t_seconds,value
primary,0.000,0.000000
primary,6.186,0.000000
primary,13.371,0.330801
primary,22.703,0.496183
primary,38.353,0.595416
primary,69.673,0.992283
primary,98.563,0.992295
primary,128.675,0.992326
primary,156.523,0.992311
primary,194.737,0.992295
primary,220.712,0.992365
primary,250.845,0.992342
primary,277.253,0.992358
primary,309.316,0.992358
primary,344.711,0.992342
primary,372.280,0.992412
primary,401.363,0.992404
primary,430.017,0.992420
primary,456.621,0.992342
primary,491.338,0.992272
primary,515.933,0.992342
primary,552.736,0.992436
primary,583.328,0.992412
primary,608.721,0.992326
primary,643.825,0.992248
primary,672.582,0.992295
primary,702.202,0.992279
primary,729.266,0.992264
primary,763.528,0.992272
primary,791.105,0.992295
primary,820.298,0.661540
primary,847.965,0.661613
primary,881.209,0.992436
primary,915.595,0.992272
primary,942.284,0.992295
primary,973.784,0.992279
primary,998.968,0.992311
primary,1030.817,0.992326
primary,1056.876,0.992311
primary,1095.010,0.992295
primary,1120.518,0.992365
primary,1152.349,0.992342
primary,1177.800,0.992358
primary,1210.731,0.992358
primary,1246.470,0.992342
primary,1271.762,0.992412
primary,1308.814,0.992436
primary,1334.095,0.992389
primary,1360.115,0.992342
primary,1393.542,0.992311
primary,1418.690,0.992342
primary,1452.175,0.992389
primary,1489.641,0.992412
primary,1509.678,0.992326
primary,1546.790,0.992311
primary,1571.491,0.992295
primary,1601.692,0.992279
primary,1629.398,0.992264
primary,1662.110,0.992295
primary,1740.875,0.992342
primary,1747.615,0.992295
primary,1754.586,0.992311
primary,1782.004,0.992330
primary,1808.031,0.992311
primary,1842.848,0.992295
primary,1875.485,0.992365
primary,1905.105,0.992318
primary,1929.469,0.992358
primary,1962.245,0.992358
primary,1994.724,0.992342
primary,2023.378,0.992412
primary,2056.545,0.992436
primary,2081.195,0.992420
primary,2110.027,0.992342
primary,2143.264,0.992272
primary,2168.785,0.992342
primary,2203.190,0.992389
primary,2236.574,0.992412
primary,2259.127,0.992326
primary,2297.853,0.992248
primary,2322.693,0.992295
primary,2354.533,0.992279
primary,2383.008,0.992272
primary,2413.516,0.992264
primary,2448.427,0.992295
primary,2474.246,0.992342
primary,2498.615,0.992420
primary,2537.426,0.992436
primary,2566.392,0.992272
primary,2592.727,0.992295
primary,2623.238,0.992279
primary,2652.135,0.992311
primary,2683.771,0.992365
primary,2710.148,0.992311
primary,2744.453,0.992295
primary,2773.582,0.992365
primary,2806.219,0.992318
primary,2831.728,0.992358
primary,2866.642,0.992389
primary,2894.978,0.992342
primary,2975.622,0.992483
primary,2983.130,0.992436
primary,2995.094,0.992436
primary,3011.791,0.992365
primary,3046.553,0.992311
primary,3077.688,0.992295
primary,3104.095,0.992279
primary,3132.835,0.992264
primary,3166.437,0.992272
primary,3196.799,0.992295
primary,3225.144,0.992311
primary,3250.014,0.992420
primary,3283.935,0.992404
primary,3314.721,0.992272
primary,3342.851,0.992295
primary,3372.472,0.992279
primary,3419.499,0.992295
primary,3433.424,0.992365
primary,3460.614,0.992311
primary,3495.480,0.992295
primary,3526.368,0.992365
primary,3554.770,0.992342
