series,t_seconds,value
primary,0.000,0.000000
primary,668.618,0.992576
primary,950.598,0.992201
primary,1749.831,0.992248
primary,3694.032,0.992576
primary,3841.187,0.992483
primary,5808.949,0.992436
primary,5954.812,0.992576
primary,6095.715,0.992483
primary,7426.311,0.992436
primary,8221.465,0.992576
primary,8477.637,0.992201
primary,8549.321,0.992248
primary,9096.751,0.992576
primary,9222.659,0.992483
primary,9462.522,0.992295
primary,9920.149,0.992576
primary,10211.246,0.992201
primary,12242.543,0.992248
primary,13426.214,0.992576
primary,13556.966,0.992483
primary,13762.195,0.992248
primary,14894.209,0.992576
primary,15167.431,0.992201
spillover,0.000,0.992576
spillover,8.042,0.992436
spillover,17.773,0.992373
spillover,23.356,0.744274
spillover,34.092,0.793873
spillover,40.550,0.826952
spillover,49.678,0.850584
spillover,52.973,0.868289
spillover,64.328,0.868268
spillover,71.898,0.868273
spillover,78.801,0.868279
spillover,83.164,0.882072
spillover,90.357,0.992331
spillover,99.271,0.992342
spillover,107.374,0.992358
spillover,117.304,0.992377
spillover,125.802,0.992377
spillover,130.200,0.992363
spillover,136.619,0.992358
spillover,139.151,0.992378
spillover,146.488,0.992373
spillover,158.118,0.992384
spillover,161.123,0.992363
spillover,170.940,0.992347
spillover,178.744,0.992331
spillover,186.937,0.992316
spillover,192.004,0.992321
spillover,200.064,0.992295
spillover,207.519,0.992289
spillover,214.234,0.992295
spillover,217.820,0.992323
spillover,224.621,0.992326
spillover,232.674,0.992316
spillover,239.268,0.992326
spillover,245.815,0.992318
spillover,253.514,0.992331
spillover,260.412,0.992347
spillover,262.816,0.992332
spillover,273.210,0.992337
spillover,278.111,0.992311
spillover,284.034,0.992309
spillover,288.298,0.992323
spillover,297.113,0.992332
spillover,305.565,0.992332
spillover,313.336,0.992356
spillover,324.119,0.992377
spillover,330.695,0.992378
spillover,334.702,0.992363
spillover,344.169,0.992365
spillover,347.601,0.992378
spillover,354.011,0.992373
spillover,366.401,0.992389
spillover,370.784,0.992363
spillover,379.754,0.992347
spillover,386.411,0.992331
spillover,396.919,0.992324
spillover,403.574,0.992321
spillover,415.115,0.992282
spillover,424.403,0.992289
spillover,432.492,0.992295
spillover,435.097,0.992330
spillover,442.850,0.992324
spillover,451.528,0.992324
spillover,458.913,0.992336
spillover,466.734,0.992330
spillover,473.919,0.992331
spillover,482.870,0.992347
spillover,485.122,0.992331
spillover,493.113,0.992337
spillover,498.182,0.992311
spillover,505.202,0.992311
spillover,508.982,0.992323
spillover,518.714,0.992332
spillover,530.761,0.992342
spillover,539.209,0.992358
spillover,550.351,0.992377
spillover,560.898,0.992382
spillover,563.281,0.992365
spillover,572.842,0.992355
spillover,576.164,0.992371
spillover,582.816,0.992377
spillover,595.912,0.992389
spillover,601.095,0.992348
spillover,613.941,0.992342
spillover,621.915,0.992324
spillover,629.259,0.992324
spillover,636.787,0.992302
spillover,644.561,0.850527
spillover,654.427,0.868253
spillover,662.291,0.850539
spillover,674.347,0.850533
spillover,684.601,0.850533
spillover,689.173,0.868258
spillover,697.297,0.850539
spillover,703.851,0.868263
spillover,712.624,0.992318
spillover,715.801,0.992301
spillover,726.596,0.992307
spillover,733.963,0.992311
spillover,742.580,0.992311
spillover,745.794,0.992331
spillover,754.315,0.992331
spillover,762.117,0.992342
spillover,771.088,0.992358
spillover,783.083,0.992377
spillover,790.074,0.992377
spillover,793.145,0.992363
spillover,803.320,0.992365
spillover,806.351,0.992371
spillover,813.403,0.992373
spillover,830.580,0.992389
spillover,834.614,0.992348
spillover,845.637,0.992342
spillover,853.970,0.992335
spillover,862.400,0.992324
spillover,866.233,0.992324
spillover,874.861,0.992282
spillover,884.893,0.992289
spillover,894.003,0.992277
spillover,896.137,0.992330
spillover,906.793,0.992324
spillover,915.188,0.992324
spillover,922.995,0.992336
spillover,930.463,0.992330
spillover,937.015,0.992342
spillover,943.877,0.992347
spillover,958.215,0.992322
spillover,972.151,0.992328
spillover,979.412,0.992335
spillover,982.658,0.992348
spillover,990.179,0.992348
spillover,999.377,0.992362
spillover,1008.390,0.992375
spillover,1019.784,0.992375
spillover,1029.224,0.992377
spillover,1033.765,0.992365
spillover,1043.715,0.992355
spillover,1047.913,0.992371
spillover,1054.942,0.992377
spillover,1064.197,0.992389
spillover,1068.444,0.992348
spillover,1078.637,0.992347
spillover,1091.435,0.992324
spillover,1101.472,0.992324
spillover,1106.225,0.992324
spillover,1115.604,0.992282
spillover,1126.104,0.992268
spillover,1138.959,0.992287
spillover,1144.374,0.992328
spillover,1150.991,0.992324
spillover,1158.610,0.992324
spillover,1164.241,0.992336
spillover,1171.236,0.868289
spillover,1177.863,0.868299
spillover,1185.130,0.882086
spillover,1189.323,0.882072
spillover,1200.143,0.882077
spillover,1210.148,0.882054
spillover,1217.235,0.882054
spillover,1222.782,0.882072
spillover,1231.178,0.882072
spillover,1239.302,0.992342
spillover,1250.567,0.992375
spillover,1262.524,0.992375
spillover,1269.395,0.992377
spillover,1272.918,0.992365
spillover,1284.258,0.992355
spillover,1287.693,0.992371
spillover,1294.887,0.992377
spillover,1307.892,0.992389
spillover,1312.381,0.992348
spillover,1324.390,0.992342
spillover,1331.561,0.992324
spillover,1340.229,0.992324
spillover,1347.740,0.992302
spillover,1354.280,0.992295
spillover,1361.872,0.992289
spillover,1370.784,0.992277
spillover,1373.136,0.992330
spillover,1380.496,0.992326
spillover,1388.736,0.992316
spillover,1394.951,0.992326
spillover,1401.773,0.992326
spillover,1407.443,0.992328
spillover,1415.618,0.992347
spillover,1419.348,0.992332
spillover,1428.231,0.992337
spillover,1434.170,0.992311
spillover,1441.952,0.992311
spillover,1445.226,0.992323
spillover,1454.546,0.992332
spillover,1465.503,0.992342
spillover,1473.169,0.992358
spillover,1483.252,0.992377
spillover,1492.230,0.992377
spillover,1498.781,0.992365
spillover,1504.825,0.992365
spillover,1508.102,0.992371
spillover,1518.955,0.992377
spillover,1529.965,0.992389
spillover,1532.729,0.992363
spillover,1547.099,0.992342
spillover,1558.414,0.992324
spillover,1568.577,0.992303
spillover,1572.407,0.992302
spillover,1584.969,0.992282
spillover,1598.930,0.992287
spillover,1608.637,0.992287
spillover,1611.701,0.992328
spillover,1620.125,0.992335
