series,minute_center,count
proactive (primary),0.500,1
proactive (primary),1.500,0
proactive (primary),2.500,0
proactive (primary),3.500,0
proactive (primary),4.500,0
proactive (primary),5.500,0
proactive (primary),6.500,0
proactive (primary),7.500,0
proactive (primary),8.500,0
proactive (primary),9.500,0
proactive (primary),10.500,0
proactive (primary),11.500,0
proactive (primary),12.500,0
proactive (primary),13.500,0
proactive (primary),14.500,0
proactive (primary),15.500,0
proactive (primary),16.500,0
proactive (primary),17.500,0
proactive (primary),18.500,0
proactive (primary),19.500,0
proactive (primary),20.500,1
proactive (primary),21.500,0
proactive (primary),22.500,0
proactive (primary),23.500,0
proactive (primary),24.500,0
proactive (primary),25.500,0
proactive (primary),26.500,0
proactive (primary),27.500,0
proactive (primary),28.500,0
proactive (primary),29.500,0
proactive (primary),30.500,0
proactive (primary),31.500,0
proactive (primary),32.500,0
proactive (primary),33.500,0
proactive (primary),34.500,0
proactive (primary),35.500,0
proactive (primary),36.500,0
proactive (primary),37.500,0
proactive (primary),38.500,0
proactive (primary),39.500,0
proactive (primary),40.500,0
proactive (primary),41.500,0
proactive (primary),42.500,0
proactive (primary),43.500,0
proactive (primary),44.500,0
proactive (primary),45.500,0
proactive (primary),46.500,0
proactive (primary),47.500,1
proactive (primary),48.500,0
proactive (primary),49.500,0
proactive (primary),50.500,0
proactive (primary),51.500,0
proactive (primary),52.500,0
proactive (primary),53.500,0
proactive (primary),54.500,1
proactive (primary),55.500,0
proactive (primary),56.500,0
proactive (primary),57.500,0
proactive (primary),58.500,0
proactive (primary),59.500,0
proactive (primary),60.500,0
proactive (primary),61.500,0
proactive (primary),62.500,0
proactive (primary),63.500,0
proactive (primary),64.500,0
proactive (primary),65.500,0
proactive (primary),66.500,0
proactive (primary),67.500,0
proactive (primary),68.500,0
proactive (primary),69.500,0
proactive (primary),70.500,0
proactive (primary),71.500,0
proactive (primary),72.500,0
proactive (primary),73.500,0
proactive (primary),74.500,0
proactive (primary),75.500,0
proactive (primary),76.500,0
proactive (primary),77.500,0
proactive (primary),78.500,0
proactive (primary),79.500,0
proactive (primary),80.500,1
proactive (primary),81.500,0
proactive (primary),82.500,0
proactive (primary),83.500,0
proactive (primary),84.500,0
proactive (primary),85.500,0
proactive (primary),86.500,0
proactive (primary),87.500,0
proactive (primary),88.500,0
