source,benchmark_id,retry_after_ms
task013,05-dual-spillover,16648.000
task013,05-dual-spillover,16127.000
task013,05-dual-spillover,5193.000
task013,05-dual-spillover,16902.000
task013,05-dual-spillover,16167.000
task013,05-dual-spillover,6146.000
task013,05-dual-spillover,5260.000
task013,05-dual-spillover,5735.000
task013,05-dual-spillover,16709.000
task013,05-dual-spillover,6832.000
task013,05-dual-spillover,7142.000
task013,05-dual-spillover,17141.000
task013,05-dual-spillover,17258.000
task013,05-dual-spillover,51.000
task013,05-dual-spillover,6.000
task013,05-dual-spillover,49.000
task013,05-dual-spillover,4.000
task013,05-dual-spillover,42.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,47.000
task013,05-dual-spillover,1.000
task013,05-dual-spillover,38.000
task013,05-dual-spillover,44.000
task013,05-dual-spillover,49.000
task013,05-dual-spillover,2.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,49.000
task013,05-dual-spillover,1.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,39.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,44.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,47.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,42.000
task013,05-dual-spillover,40.000
task013,05-dual-spillover,38.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,37.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,42.000
task013,05-dual-spillover,44.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,40.000
task013,05-dual-spillover,44.000
task013,05-dual-spillover,39.000
task013,05-dual-spillover,39.000
task013,05-dual-spillover,37.000
task013,05-dual-spillover,39.000
task013,05-dual-spillover,35.000
task013,05-dual-spillover,37.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,33.000
task013,05-dual-spillover,38.000
task013,05-dual-spillover,3.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,7.000
task013,05-dual-spillover,39.000
task013,05-dual-spillover,33.000
task013,05-dual-spillover,49.000
task013,05-dual-spillover,1.000
task013,05-dual-spillover,35.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,42.000
task013,05-dual-spillover,44.000
task013,05-dual-spillover,37.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,49.000
task013,05-dual-spillover,44.000
task013,05-dual-spillover,47.000
task013,05-dual-spillover,38.000
task013,05-dual-spillover,33.000
task013,05-dual-spillover,37.000
task013,05-dual-spillover,50.000
task013,05-dual-spillover,38.000
task013,05-dual-spillover,39.000
task013,05-dual-spillover,47.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,2.000
task013,05-dual-spillover,47.000
task013,05-dual-spillover,1.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,49.000
task013,05-dual-spillover,40.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,23.000
task013,05-dual-spillover,44.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,4.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,3.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,44.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,1.000
task013,05-dual-spillover,4.000
task013,05-dual-spillover,1.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,6.000
task013,05-dual-spillover,50.000
task013,05-dual-spillover,2.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,4.000
task013,05-dual-spillover,32.000
task013,05-dual-spillover,42.000
task013,05-dual-spillover,39.000
task013,05-dual-spillover,1.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,3.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,47.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,42.000
task013,05-dual-spillover,36.000
task013,05-dual-spillover,40.000
task013,05-dual-spillover,49.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,38.000
task013,05-dual-spillover,40.000
task013,05-dual-spillover,40.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,47.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,37.000
task013,05-dual-spillover,46.000
task013,05-dual-spillover,43.000
task013,05-dual-spillover,42.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,38.000
task013,05-dual-spillover,41.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,1.000
task013,05-dual-spillover,34.000
task013,05-dual-spillover,45.000
task013,05-dual-spillover,48.000
task013,05-dual-spillover,39.000
task013,05-dual-spillover,49.000
task013,05-dual-spillover,37.000
task013,05-dual-spillover,40.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,2.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,4.000
task019,07-max-output-tokens-reservation,2.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,60.000
task019,07-max-output-tokens-reservation,60.000
task019,07-max-output-tokens-reservation,60.000
task019,07-max-output-tokens-reservation,60.000
task019,07-max-output-tokens-reservation,60.000
task019,07-max-output-tokens-reservation,60.000
task019,07-max-output-tokens-reservation,1.000
task019,07-max-output-tokens-reservation,4.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,1.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
task019,07-max-output-tokens-reservation,3.000
