series,t_seconds,value
proactive (this run),0.000,0.992342
proactive (this run),6.969,0.992459
proactive (this run),16.301,0.992404
proactive (this run),26.468,0.992365
proactive (this run),33.257,0.992361
proactive (this run),40.287,0.992342
proactive (this run),47.567,0.992342
proactive (this run),55.258,0.992348
proactive (this run),59.097,0.992331
proactive (this run),67.506,0.992307
proactive (this run),75.878,0.992311
proactive (this run),84.565,0.992311
proactive (this run),89.105,0.992331
proactive (this run),105.343,0.992342
proactive (this run),115.450,0.992335
proactive (this run),124.651,0.992375
proactive (this run),137.820,0.992381
proactive (this run),145.693,0.992397
proactive (this run),151.459,0.992365
proactive (this run),160.072,0.992355
proactive (this run),164.136,0.992371
proactive (this run),173.998,0.992377
proactive (this run),188.383,0.992375
proactive (this run),193.072,0.992348
proactive (this run),203.043,0.992342
proactive (this run),214.315,0.992335
proactive (this run),223.792,0.992328
proactive (this run),229.016,0.992302
proactive (this run),238.433,0.992282
proactive (this run),247.348,0.992289
proactive (this run),254.359,0.992295
proactive (this run),257.901,0.992330
proactive (this run),266.835,0.992324
proactive (this run),276.901,0.992324
proactive (this run),283.283,0.992326
proactive (this run),289.666,0.992330
proactive (this run),300.313,0.992342
proactive (this run),308.247,0.992348
proactive (this run),311.742,0.992331
proactive (this run),321.279,0.992307
proactive (this run),326.824,0.992311
proactive (this run),335.437,0.992311
proactive (this run),340.185,0.992331
proactive (this run),350.116,0.992342
proactive (this run),363.408,0.992342
proactive (this run),376.327,0.992375
proactive (this run),385.489,0.992375
proactive (this run),394.156,0.992382
proactive (this run),399.009,0.992375
proactive (this run),407.795,0.992355
proactive (this run),412.364,0.992375
proactive (this run),420.499,0.992377
proactive (this run),431.700,0.992389
proactive (this run),436.634,0.992348
proactive (this run),446.300,0.992342
proactive (this run),456.704,0.868284
proactive (this run),465.665,0.868284
proactive (this run),471.368,0.868284
proactive (this run),479.100,0.868258
proactive (this run),488.572,0.868253
proactive (this run),497.454,0.850539
proactive (this run),499.856,0.868289
proactive (this run),511.613,0.868284
proactive (this run),521.828,0.992324
proactive (this run),528.203,0.992336
