series,t_seconds,value
cache hit ratio,0.000,0.992342
cache hit ratio,6.969,0.992459
cache hit ratio,16.301,0.992404
cache hit ratio,26.468,0.992365
cache hit ratio,33.257,0.992361
cache hit ratio,40.287,0.992342
cache hit ratio,47.567,0.992342
cache hit ratio,55.258,0.992348
cache hit ratio,59.097,0.992331
cache hit ratio,67.506,0.992307
cache hit ratio,75.878,0.992311
cache hit ratio,84.565,0.992311
cache hit ratio,89.105,0.992331
cache hit ratio,105.343,0.992342
cache hit ratio,115.450,0.992335
cache hit ratio,124.651,0.992375
cache hit ratio,137.820,0.992381
cache hit ratio,145.693,0.992397
cache hit ratio,151.459,0.992365
cache hit ratio,160.072,0.992355
cache hit ratio,164.136,0.992371
cache hit ratio,173.998,0.992377
cache hit ratio,188.383,0.992375
cache hit ratio,193.072,0.992348
cache hit ratio,203.043,0.992342
cache hit ratio,214.315,0.992335
cache hit ratio,223.792,0.992328
cache hit ratio,229.016,0.992302
cache hit ratio,238.433,0.992282
cache hit ratio,247.348,0.992289
cache hit ratio,254.359,0.992295
cache hit ratio,257.901,0.992330
cache hit ratio,266.835,0.992324
cache hit ratio,276.901,0.992324
cache hit ratio,283.283,0.992326
cache hit ratio,289.666,0.992330
cache hit ratio,300.313,0.992342
cache hit ratio,308.247,0.992348
cache hit ratio,311.742,0.992331
cache hit ratio,321.279,0.992307
cache hit ratio,326.824,0.992311
cache hit ratio,335.437,0.992311
cache hit ratio,340.185,0.992331
cache hit ratio,350.116,0.992342
cache hit ratio,363.408,0.992342
cache hit ratio,376.327,0.992375
cache hit ratio,385.489,0.992375
cache hit ratio,394.156,0.992382
cache hit ratio,399.009,0.992375
cache hit ratio,407.795,0.992355
cache hit ratio,412.364,0.992375
cache hit ratio,420.499,0.992377
cache hit ratio,431.700,0.992389
cache hit ratio,436.634,0.992348
cache hit ratio,446.300,0.992342
cache hit ratio,456.704,0.868284
cache hit ratio,465.665,0.868284
cache hit ratio,471.368,0.868284
cache hit ratio,479.100,0.868258
cache hit ratio,488.572,0.868253
cache hit ratio,497.454,0.850539
cache hit ratio,499.856,0.868289
cache hit ratio,511.613,0.868284
cache hit ratio,521.828,0.992324
cache hit ratio,528.203,0.992336
cache hit ratio,536.901,0.992330
cache hit ratio,544.223,0.992342
cache hit ratio,550.542,0.992348
cache hit ratio,553.869,0.992331
cache hit ratio,563.755,0.992307
cache hit ratio,571.716,0.992313
cache hit ratio,579.774,0.992311
cache hit ratio,584.315,0.992331
cache hit ratio,592.978,0.992331
cache hit ratio,605.517,0.992342
cache hit ratio,613.181,0.992354
cache hit ratio,625.635,0.992375
cache hit ratio,634.580,0.992382
cache hit ratio,637.556,0.992365
cache hit ratio,646.270,0.992355
cache hit ratio,654.840,0.992375
cache hit ratio,662.657,0.992377
cache hit ratio,676.372,0.992375
cache hit ratio,681.392,0.992348
cache hit ratio,691.497,0.992342
cache hit ratio,701.808,0.992335
cache hit ratio,710.581,0.992328
cache hit ratio,715.546,0.992302
cache hit ratio,723.826,0.992282
cache hit ratio,732.408,0.992289
cache hit ratio,741.263,0.992277
cache hit ratio,744.700,0.992330
cache hit ratio,753.440,0.992324
cache hit ratio,763.823,0.992324
cache hit ratio,771.298,0.992336
cache hit ratio,778.364,0.992330
cache hit ratio,785.931,0.992342
cache hit ratio,792.805,0.992348
cache hit ratio,796.513,0.992331
cache hit ratio,804.271,0.992337
cache hit ratio,809.696,0.992311
cache hit ratio,819.770,0.992311
cache hit ratio,824.074,0.992331
cache hit ratio,837.696,0.992331
cache hit ratio,847.896,0.992342
cache hit ratio,856.191,0.992354
cache hit ratio,868.055,0.992375
cache hit ratio,875.931,0.992382
cache hit ratio,880.606,0.992375
cache hit ratio,888.075,0.992355
cache hit ratio,891.619,0.992371
cache hit ratio,897.971,0.992377
cache hit ratio,912.440,0.992389
cache hit ratio,917.166,0.992348
cache hit ratio,929.220,0.992342
cache hit ratio,940.263,0.992324
cache hit ratio,949.787,0.992328
cache hit ratio,955.157,0.992302
cache hit ratio,963.687,0.992282
cache hit ratio,976.069,0.992268
cache hit ratio,985.012,0.992295
cache hit ratio,990.222,0.992328
cache hit ratio,998.339,0.992324
cache hit ratio,1009.557,0.992324
cache hit ratio,1016.936,0.992342
cache hit ratio,1025.153,0.992342
cache hit ratio,1032.849,0.992342
cache hit ratio,1039.577,0.992348
cache hit ratio,1043.888,0.992331
cache hit ratio,1055.206,0.992307
cache hit ratio,1062.321,0.992313
cache hit ratio,1072.471,0.992318
cache hit ratio,1076.717,0.992331
cache hit ratio,1085.361,0.992342
cache hit ratio,1097.449,0.992342
cache hit ratio,1106.253,0.992375
cache hit ratio,1115.197,0.992377
cache hit ratio,1123.718,0.992382
cache hit ratio,1128.063,0.992365
cache hit ratio,1135.184,0.992365
cache hit ratio,1138.759,0.992371
cache hit ratio,1149.754,0.992377
cache hit ratio,1166.946,0.992375
cache hit ratio,1171.396,0.992348
cache hit ratio,1180.101,0.992342
cache hit ratio,1189.093,0.992335
cache hit ratio,1196.932,0.992328
cache hit ratio,1202.526,0.992302
cache hit ratio,1216.356,0.992282
cache hit ratio,1225.854,0.992289
cache hit ratio,1239.207,0.992295
cache hit ratio,1242.034,0.992328
cache hit ratio,1248.113,0.992324
cache hit ratio,1257.032,0.992335
cache hit ratio,1267.187,0.992342
cache hit ratio,1278.934,0.992342
cache hit ratio,1286.387,0.992342
cache hit ratio,1295.735,0.992348
cache hit ratio,1299.504,0.992330
cache hit ratio,1308.622,0.992308
cache hit ratio,1313.408,0.992313
cache hit ratio,1321.007,0.992318
cache hit ratio,1324.591,0.992331
cache hit ratio,1331.697,0.992331
cache hit ratio,1341.454,0.992342
cache hit ratio,1349.313,0.992358
cache hit ratio,1359.097,0.992358
cache hit ratio,1366.659,0.992378
cache hit ratio,1370.829,0.992363
cache hit ratio,1380.260,0.992358
cache hit ratio,1384.475,0.992378
cache hit ratio,1390.858,0.992373
cache hit ratio,1399.663,0.992384
cache hit ratio,1403.519,0.992363
cache hit ratio,1416.438,0.992347
cache hit ratio,1427.710,0.992324
cache hit ratio,1437.157,0.992324
cache hit ratio,1442.928,0.992324
cache hit ratio,1451.578,0.992282
cache hit ratio,1460.256,0.992268
cache hit ratio,1468.114,0.992295
cache hit ratio,1471.038,0.992330
cache hit ratio,1478.965,0.992324
cache hit ratio,1486.877,0.992316
cache hit ratio,1493.618,0.992326
cache hit ratio,1499.584,0.992326
cache hit ratio,1507.353,0.992331
cache hit ratio,1512.700,0.992347
cache hit ratio,1516.927,0.992332
cache hit ratio,1527.648,0.992337
cache hit ratio,1537.044,0.992311
cache hit ratio,1545.448,0.992311
cache hit ratio,1549.144,0.992331
cache hit ratio,1557.808,0.992331
cache hit ratio,1574.798,0.992335
cache hit ratio,1583.072,0.992375
cache hit ratio,1592.742,0.992375
cache hit ratio,1600.845,0.992382
cache hit ratio,1605.247,0.992365
cache hit ratio,1612.672,0.992355
cache hit ratio,1616.824,0.992371
cache hit ratio,1624.809,0.992377
cache hit ratio,1633.816,0.992384
cache hit ratio,1638.243,0.992363
cache hit ratio,1648.593,0.992347
cache hit ratio,1658.383,0.992331
cache hit ratio,1666.619,0.992324
cache hit ratio,1671.472,0.992321
cache hit ratio,1680.972,0.992295
cache hit ratio,1689.372,0.992289
cache hit ratio,1696.015,0.992277
cache hit ratio,1699.994,0.992330
cache hit ratio,1707.463,0.992326
cache hit ratio,1715.386,0.992316
cache hit ratio,1722.191,0.992326
cache hit ratio,1734.448,0.992330
cache hit ratio,1743.842,0.992342
cache hit ratio,1750.982,0.992348
cache hit ratio,1753.998,0.992331
cache hit ratio,1762.297,0.992307
cache hit ratio,1769.603,0.992313
cache hit ratio,1778.998,0.992318
cache hit ratio,1783.018,0.992330
cache hit ratio,1789.897,0.992331
cache hit ratio,1800.090,0.992342
cache hit ratio,1808.451,0.992358
cache hit ratio,1821.959,0.992377
cache hit ratio,1827.534,0.992377
cache hit ratio,1831.347,0.992365
cache hit ratio,1841.133,0.992365
cache hit ratio,1845.683,0.992371
cache hit ratio,1853.918,0.992377
cache hit ratio,1864.546,0.992389
cache hit ratio,1868.881,0.992348
cache hit ratio,1879.886,0.992347
cache hit ratio,1889.592,0.992324
cache hit ratio,1899.811,0.992324
cache hit ratio,1905.777,0.992302
cache hit ratio,1914.752,0.992282
cache hit ratio,1925.842,0.992268
cache hit ratio,1936.002,0.992295
cache hit ratio,1939.527,0.992330
cache hit ratio,1947.009,0.992324
cache hit ratio,1956.120,0.992324
cache hit ratio,1962.979,0.992336
cache hit ratio,1969.591,0.992330
cache hit ratio,1976.029,0.992342
cache hit ratio,1983.210,0.992347
cache hit ratio,1986.330,0.992331
cache hit ratio,1995.116,0.992337
cache hit ratio,2004.411,0.992311
cache hit ratio,2012.085,0.992311
cache hit ratio,2016.216,0.992331
cache hit ratio,2022.505,0.992332
cache hit ratio,2032.505,0.992342
cache hit ratio,2041.260,0.992358
cache hit ratio,2054.680,0.992377
cache hit ratio,2062.926,0.992377
cache hit ratio,2066.956,0.992365
cache hit ratio,2076.070,0.992365
cache hit ratio,2079.561,0.992371
cache hit ratio,2087.138,0.992377
cache hit ratio,2098.669,0.992389
cache hit ratio,2103.880,0.992348
cache hit ratio,2113.411,0.992347
cache hit ratio,2120.561,0.992331
cache hit ratio,2129.540,0.992324
cache hit ratio,2134.716,0.992321
cache hit ratio,2142.586,0.992295
cache hit ratio,2151.498,0.992289
cache hit ratio,2159.463,0.992277
cache hit ratio,2162.195,0.992311
cache hit ratio,2168.901,0.992326
cache hit ratio,2178.370,0.992316
cache hit ratio,2185.121,0.992326
cache hit ratio,2192.107,0.992326
cache hit ratio,2200.501,0.992331
cache hit ratio,2206.646,0.992347
cache hit ratio,2210.093,0.992332
cache hit ratio,2218.784,0.992337
cache hit ratio,2225.101,0.992311
cache hit ratio,2232.877,0.992311
cache hit ratio,2236.506,0.992323
cache hit ratio,2243.361,0.992332
cache hit ratio,2252.451,0.992342
cache hit ratio,2262.555,0.992358
cache hit ratio,2273.669,0.992377
cache hit ratio,2280.655,0.992377
cache hit ratio,2286.316,0.992365
cache hit ratio,2294.887,0.992365
cache hit ratio,2298.909,0.992371
cache hit ratio,2307.064,0.992377
cache hit ratio,2321.619,0.992389
cache hit ratio,2324.962,0.992348
cache hit ratio,2335.578,0.992342
cache hit ratio,2343.155,0.992324
cache hit ratio,2351.473,0.992324
cache hit ratio,2356.678,0.992324
cache hit ratio,2365.593,0.992295
cache hit ratio,2375.161,0.992289
cache hit ratio,2383.802,0.992277
cache hit ratio,2388.706,0.992330
cache hit ratio,2396.602,0.992324
cache hit ratio,2406.165,0.992324
cache hit ratio,2412.880,0.992336
cache hit ratio,2420.600,0.992330
cache hit ratio,2426.601,0.992342
cache hit ratio,2432.164,0.992347
cache hit ratio,2435.695,0.992331
cache hit ratio,2446.993,0.992337
cache hit ratio,2452.894,0.992311
cache hit ratio,2461.202,0.992311
cache hit ratio,2464.734,0.992323
cache hit ratio,2472.213,0.992332
cache hit ratio,2481.195,0.992342
cache hit ratio,2490.093,0.992358
cache hit ratio,2501.757,0.992377
cache hit ratio,2510.253,0.992377
cache hit ratio,2514.490,0.992365
cache hit ratio,2522.856,0.992365
