series,t_seconds,value
cache hit ratio,0.000,0.992342
cache hit ratio,8.361,0.992459
cache hit ratio,18.827,0.992404
cache hit ratio,27.996,0.992365
cache hit ratio,34.779,0.992361
cache hit ratio,41.678,0.992342
cache hit ratio,48.865,0.992342
cache hit ratio,56.205,0.992348
cache hit ratio,63.598,0.992330
cache hit ratio,73.296,0.992307
cache hit ratio,79.802,0.992313
cache hit ratio,87.666,0.992311
cache hit ratio,92.631,0.992331
cache hit ratio,102.451,0.992342
cache hit ratio,110.211,0.992342
cache hit ratio,119.131,0.992354
cache hit ratio,130.828,0.992377
cache hit ratio,138.070,0.992377
cache hit ratio,142.990,0.992365
cache hit ratio,152.843,0.992355
cache hit ratio,156.884,0.992371
cache hit ratio,163.736,0.992377
cache hit ratio,178.372,0.992389
cache hit ratio,183.343,0.992348
cache hit ratio,200.061,0.992335
cache hit ratio,207.748,0.992335
cache hit ratio,217.365,0.992303
cache hit ratio,222.602,0.992302
cache hit ratio,231.863,0.992282
cache hit ratio,242.444,0.992268
cache hit ratio,250.737,0.992295
cache hit ratio,256.556,0.992330
cache hit ratio,264.904,0.992324
cache hit ratio,272.767,0.992324
cache hit ratio,280.434,0.992336
cache hit ratio,287.495,0.992330
cache hit ratio,293.739,0.992342
cache hit ratio,301.117,0.992347
cache hit ratio,304.563,0.992331
cache hit ratio,315.605,0.992337
cache hit ratio,321.694,0.992311
cache hit ratio,329.764,0.992311
cache hit ratio,333.479,0.992331
cache hit ratio,339.914,0.992332
cache hit ratio,349.732,0.992342
cache hit ratio,358.580,0.992358
cache hit ratio,373.150,0.992377
cache hit ratio,380.613,0.992377
cache hit ratio,384.681,0.992365
cache hit ratio,392.175,0.992365
cache hit ratio,397.185,0.992371
cache hit ratio,404.545,0.992377
cache hit ratio,423.779,0.992375
cache hit ratio,428.233,0.992348
cache hit ratio,438.540,0.992342
cache hit ratio,445.585,0.992335
cache hit ratio,454.384,0.992328
cache hit ratio,459.329,0.992302
cache hit ratio,468.442,0.992282
cache hit ratio,476.853,0.992289
cache hit ratio,486.194,0.992277
cache hit ratio,489.641,0.992330
cache hit ratio,496.668,0.992326
cache hit ratio,506.106,0.992324
cache hit ratio,513.502,0.992326
cache hit ratio,520.265,0.992330
cache hit ratio,527.833,0.992331
cache hit ratio,534.816,0.992347
cache hit ratio,538.993,0.992331
cache hit ratio,548.222,0.992337
cache hit ratio,556.739,0.992313
cache hit ratio,566.934,0.992318
cache hit ratio,570.670,0.992331
cache hit ratio,577.021,0.992331
cache hit ratio,585.578,0.992342
